City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Carnarvon,AU,86.59,clear sky,-24.8667,113.6333,
2,Atuona,PF,77.32,light rain,-9.8,-139.0333,
6,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,
26,Puerto Carreno,CO,81.72,broken clouds,6.189,-67.4859,
27,Ranong,TH,82.02,broken clouds,9.9658,98.6348,
29,Dapdap,PH,81.79,overcast clouds,12.062,125.4881,
31,Kavieng,PG,84.0,light rain,-2.5744,150.7967,
34,Vaini,TO,80.28,overcast clouds,-21.2,-175.2,
37,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,
38,Rikitea,PF,78.93,clear sky,-23.1203,-134.9692,
39,Isangel,VU,85.42,broken clouds,-19.55,169.2667,
41,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,
52,Kyabe,TD,75.92,overcast clouds,9.4515,18.9449,
54,Sainte-Suzanne,RE,80.78,clear sky,-20.9061,55.6089,
55,Kabin Buri,TH,87.89,overcast clouds,13.9511,101.7177,
61,Sola,VU,82.74,broken clouds,-13.8833,167.55,
62,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,
64,Ugoofaaru,MV,81.09,overcast clouds,5.6667,73.0,
69,Avarua,CK,77.05,light rain,-21.2078,-159.775,
70,Saint-Georges,GD,77.54,scattered clouds,12.0564,-61.7485,
71,Faanui,PF,80.51,light rain,-16.4833,-151.75,
75,Saint-Philippe,RE,80.15,scattered clouds,-21.3585,55.7679,
77,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,
91,Boueni,YT,76.98,few clouds,-12.9025,45.0761,
92,Kapoeta,SS,80.98,overcast clouds,4.7717,33.5903,
99,Hilo,US,76.24,clear sky,19.7297,-155.09,
100,Santa Rosa,PH,86.09,scattered clouds,14.3122,121.1114,
102,Kapaa,US,78.78,clear sky,22.0752,-159.319,
106,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,
112,Mount Gambier,AU,75.83,few clouds,-37.8333,140.7667,
117,Busselton,AU,85.05,clear sky,-33.65,115.3333,
120,Tual,ID,81.03,broken clouds,-5.6667,132.75,
126,Bubaque,GW,78.03,clear sky,11.2833,-15.8333,
134,Arraial Do Cabo,BR,75.24,few clouds,-22.9661,-42.0278,
136,Hobyo,SO,76.08,broken clouds,5.3505,48.5268,
141,Mackay,AU,88.68,scattered clouds,-21.15,149.2,
143,Kalmunai,LK,79.84,broken clouds,7.4167,81.8167,
153,Ban Nahin,LA,78.49,overcast clouds,18.2418,104.2122,
154,Panalingaan,PH,85.86,broken clouds,8.7842,117.4231,
162,Butaritari,KI,81.0,moderate rain,3.0707,172.7902,
167,Kahului,US,77.02,scattered clouds,20.8947,-156.47,
169,Labuhan,ID,78.98,light rain,-6.8844,112.2051,
173,Tarakan,ID,87.3,scattered clouds,3.3,117.6333,
176,Souillac,MU,81.36,light rain,-20.5167,57.5167,
183,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,
184,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,
185,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,
187,Pespire,HN,81.88,few clouds,13.5922,-87.3617,
188,Eydhafushi,MV,81.52,broken clouds,5.1033,73.0708,
194,Georgetown,MY,86.9,few clouds,5.4112,100.3354,
198,Gamba,GA,76.96,overcast clouds,-2.65,10.0,
199,Kavaratti,IN,80.76,clear sky,10.5669,72.642,
213,Nanakuli,US,76.98,clear sky,21.3906,-158.1547,
219,Port Blair,IN,78.84,haze,11.6667,92.75,
223,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,
225,Majene,ID,79.27,overcast clouds,-3.5403,118.9707,
231,Richards Bay,ZA,76.06,light rain,-28.783,32.0377,
240,Kieta,PG,83.77,light rain,-6.2167,155.6333,
247,Muisne,EC,75.72,overcast clouds,0.6,-80.0333,
248,Maragogi,BR,79.32,scattered clouds,-9.0122,-35.2225,
250,Kanniyakumari,IN,79.18,few clouds,8.0833,77.5667,
