,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint Simons,US,31.1352,-81.3901,53.08,37,0,11.5,clear sky
1,Carnarvon,AU,-24.8667,113.6333,86.59,62,6,6.2,clear sky
2,Atuona,PF,-9.8,-139.0333,77.32,80,20,13.96,light rain
3,Dunedin,NZ,-45.8742,170.5036,61.81,61,81,15.01,broken clouds
4,Ilulissat,GL,69.2167,-51.1,6.82,72,100,13.8,light snow
5,Jamestown,US,42.097,-79.2353,15.12,72,100,3.44,overcast clouds
6,Hithadhoo,MV,-0.6,73.0833,82.22,73,64,12.75,broken clouds
7,Saldanha,ZA,-33.0117,17.9442,63.68,90,0,13.27,clear sky
8,Chokurdakh,RU,70.6333,147.9167,-13.85,98,79,8.37,broken clouds
9,Bakchar,RU,57.0186,82.0711,18.61,95,100,8.05,light snow
10,Muros,ES,42.7762,-9.0603,52.23,93,12,18.59,few clouds
11,Punta Arenas,CL,-53.15,-70.9167,42.91,61,20,12.66,few clouds
12,Galveston,US,29.3669,-94.9669,52.11,71,0,5.75,clear sky
13,Kristiansund,NO,63.1115,7.732,35.65,75,75,17.27,broken clouds
14,Ushuaia,AR,-54.8,-68.3,40.66,70,40,26.46,scattered clouds
15,Yashkul,RU,46.1711,45.3435,31.19,62,0,6.22,clear sky
16,Mataura,NZ,-46.1927,168.8643,72.55,35,100,3.62,overcast clouds
17,Ostrovnoy,RU,68.0531,39.5131,21.24,83,100,26.93,overcast clouds
18,Albany,US,42.6001,-73.9662,21.15,63,33,5.01,scattered clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,96,2.44,overcast clouds
20,Saint George,US,37.1041,-113.5841,59.34,21,0,1.99,clear sky
21,Steamboat Springs,US,40.485,-106.8317,35.1,57,0,6.91,clear sky
22,Constitucion,CL,-35.3333,-72.4167,58.77,90,69,2.08,broken clouds
23,Nizwa,OM,22.9333,57.5333,57.99,64,0,2.98,clear sky
24,Cabo San Lucas,MX,22.8909,-109.9124,73.71,46,0,5.75,clear sky
25,Leningradskiy,RU,69.3833,178.4167,-17.27,90,78,5.88,broken clouds
26,Puerto Carreno,CO,6.189,-67.4859,81.72,46,51,8.99,broken clouds
27,Ranong,TH,9.9658,98.6348,82.02,77,76,4.16,broken clouds
28,Port Elizabeth,ZA,-33.918,25.5701,67.77,84,96,15.26,light rain
29,Dapdap,PH,12.062,125.4881,81.79,69,100,10.42,overcast clouds
